Name,Text,Interjection
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id145.wav, I seen um IN I IN it,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id146.wav,um,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id148.wav,um computer work.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id149.wav,Um,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id151.wav,"Um, it was",1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id152.wav,um girl WHO,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id156.wav,um get BA CK to them,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id157.wav,Um.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id159.wav,Um someone had um,2.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id160.wav,UHH,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id161.wav,UHH,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id162.wav,Uhh,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id163.wav,um she didn't,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id164.wav,quite make it to um the train.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id165.wav,And she um FE FELL OFFFFFFFF the train.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id166.wav,Um and she,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id168.wav,Um.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id169.wav,Where she um LIVVVVVVED.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id171.wav,then she was thrown out of the um,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id173.wav, Um.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id174.wav,And she um,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_10y4m_1_id177.wav,Um.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id116.wav,"that’s um black and white.Er,",2.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id118.wav,"year but um,",1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id122.wav,"Um, and that's quite good",1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id123.wav,"to play on. Erm,",1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id126.wav,"things. Um,",1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id131.wav,"and you put balls in it, AND UM AND they're meant to put their paws in and um play",2.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id133.wav,"been playing with it quite a lot. Um,",1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id137.wav,AND food tasted nice. Um.,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id138.wav,UM,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id139.wav,Um. Then we,1.0
D:\placements\paleru_technology\data\UCLASS\F_0101_13y1m_1_id140.wav,"came back from that, and we had a",1.0
D:\placements\paleru_technology\data\UCLASS\M_0028_15y11m_1_id845.wav,"Since then, I've supported them, er,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0028_15y11m_1_id852.wav, Um.,1.0
D:\placements\paleru_technology\data\UCLASS\M_0028_15y11m_1_id856.wav," er French, English Literature",1.0
D:\placements\paleru_technology\data\UCLASS\M_0028_15y11m_1_id857.wav,"and language, erm, I'm doing ",1.0
D:\placements\paleru_technology\data\UCLASS\M_0028_15y11m_1_id859.wav,"Er so far, I've had my Geography, that went really",1.0
D:\placements\paleru_technology\data\UCLASS\M_0028_15y11m_1_id861.wav," my RE er didn't do too well in that,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0028_15y11m_1_id862.wav,because couldn't really learn nothing.,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id275.wav,"Most of the programming I do is in visual basic um,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id276.wav,"which is in windows. Um, at my",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id279.wav, Um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id280.wav,um,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id284.wav,"language and easy to use. Um,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id286.wav," um but the computer sometimes crashes when it runs that,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id287.wav,"I think it's because of memory problems. Um,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id288.wav,yeah. And I've made some,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id289.wav,"some EXE versions of some of my games, um",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id290.wav,"um but I'm keeping those to myself F FOR the time, I might sell them",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id291.wav,them later when I'm older. Um. ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id293.wav,"um, I've written a program where you’ve got to fill in ",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id297.wav,"magic square, that's the one where you move the {T1} no, um that’s when where all",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id299.wav,"Um,one ",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id300.wav,"right one twenty nine by twenty nine looks impossible but in fact it's basedUm, one",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id301.wav,"on one simple technique, um make it any size as long as",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id303.wav," even number yet.Um,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id304.wav, oh yes visual basic. Um,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id307.wav,Um some of them are a bit annoying but I I I get used to that.,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id309.wav,Um.,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_12y1m_1_id310.wav,"Um, my account ",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id719.wav,"on foil, um, and that was ok ",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id720.wav,um but I didn’t feel it WUZSSSSSSSSS um as,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id725.wav,um C C{blocks}OMPUTERS and,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id726.wav,"um YYYYYOU all wired up to stuff, WHICHCHCHCHCHCH um",2.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id727.wav,um C{blocks}AN tell if you’ve hit  the other person or not. And,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id728.wav,"um {block}THERE’S a metal foil often, which means",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id729.wav,"means that light doesn't come up if you hit the floor. And um,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id731.wav,"I did quite well, um about a year ago",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id734.wav,"I have done a bit of sabre, um most of our school fencing competitions",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id735.wav,"competitions are sabre rather than epee, erm which is a bit",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id738.wav,"with all these bruises, um and bleeding a bit.",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id739.wav,"Erm I’ve entered a couple of sabre competitions as well, ",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id740.wav,"um I'm not generally very good at sabre because I don't really practise it,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id742.wav,"which I thougth  wasn’t bad. Um,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id743.wav,dee dum dee dum.ERM,1.0
D:\placements\paleru_technology\data\UCLASS\M_0030_17y9m_1_id744.wav,"Erm, I don't think I'm realistically going  to be able to keep",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id245.wav,"I’ve chosen to talk about my erm electric guitar,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id247.wav,"And um, yeah well, I've been play",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id248.wav,"I've been playing it for JJJJJJ JUST over a year now. An um uh, HU I did have a tutor,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id249.wav,"erm but in about, H AROUND September um he just",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id250.wav,"um SSS STOPPED coming, didn't turn up for some reason,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id252.wav,"so um so HEE HE’S going to stop for a bit. And um, ",2.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id253.wav,well HI I HA A ASN’T been as fun um playing,1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id255.wav,"longer, and isn’t quite as fun. And um, well,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id257.wav,"and hard rock, and um my favourite band are { blocks}HU U OBABLY",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id258.wav,"QUEEN QUEEN, and um, HI HIXEPT that I ",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id260.wav,"Huh, my teacher said I should start off with SU ZOMETHING would be a bit more simple, AND ",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id261.wav,"HA AND we had just started moving ON ON to Queen, but he um stopped.",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id262.wav,"And erm, Y EAH, and AH like playing U ALMOST",2.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id264.wav,and people like that. And,1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id265.wav,"um, I play in a band as well, except",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id267.wav,"and we practice about WW WWWW ONCE a week, round um",2.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id268.wav,"round um one of our friend's house. And um, yeah OUR OUR",2.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id271.wav,"een playing for about a month now, and um, well there",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id273.wav,"um U UZ me,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0052_16y4m_1_id274.wav,"and, erm.",1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id314.wav,Christmas I WANT UM I WANT,1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id315.wav,SUMMMMMMM new games FOR MY NEW FAW MY UM NIN{block},1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id318.wav,and also I want some NEW NEW UM,1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id319.wav,NEW um B{block}O,1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id320.wav,OOKS TO UM TO UM H{block},2.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id321.wav,me WU WITH MY UM WITH MY,1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id323.wav, WANTTTTTTTTTT A NEW A NEW um um,1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id327.wav,I want a few NEW UM NEW UM um,1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id333.wav, a um SSSSSSSSSSSSKSSSSSSSSSSSSSSSSSGWOSH,1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id338.wav,"DOWN at school in Dorset, um what we do ",1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id339.wav, THIS UM THIS UM TH{x41},2.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id341.wav, W{block}EDNESDAY afternoons which is called THE UM THE UM S{x36},2.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id343.wav,"SEE EF, um which is LIKE THE LIKE",1.0
D:\placements\paleru_technology\data\UCLASS\M_0061_14y8m_1_id344.wav,V{block}ERY low down um,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id777.wav,"And um, and I also",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id778.wav,"got um, some R RRRRRR RA ROA R{block}",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id780.wav,"TO TO um get. Um, I also got",2.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id781.wav,a CU C{block}UM COMPUTER game for the,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id782.wav,"for the um C{block}OMPUTER, called RRRRRRRU RU RRRRRRE",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id783.wav,"RED Alert. Um, but",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id784.wav,MA MA MY best present um AR AR I got,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id785.wav,WWWWWWW- um WOZ probably for my birthday,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id786.wav,"last year, WWWWW WHICH um WU WWWWWW WWWWWW WO WAS in fact U A",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id787.wav,"cat, g um HHHOO I've called Amber, because her",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id789.wav,"Erm, and she's fat and won't STO STOP eating.",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id790.wav,Erm AND{block}AND she's extremely,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id791.wav,"naughty, um, and always tries to",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id792.wav,"to eat something, and SSSSS TEALS um food from",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id793.wav,"all over the place. Um,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id795.wav,"really. Um, I've got",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id797.wav,DIFFERENT um RRRRR RRRRR REE{block},1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id799.wav,which AR I um raced WU WUTH WITH the car,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id800.wav,I I I GOG I G GOT GOT GOT for um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id801.wav,"CR C CR CRI CRRRRRRISTMAS. Erm,",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id804.wav,"WI WU WEE WHEEL drive, and um, and it's also ",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id807.wav,"um, so it's extremely SSSSSSMOOTH when it does",1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_12y4m_1_id809.wav,um my garden AND AND,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id937.wav,OK. Erm ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id938.wav,I'm at SS SS AINT SAINT Johnâ€™s now: erm ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id940.wav,E AI E{blocks} ES {blocks},1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id943.wav,Erm I'm doing Maths: IT Art ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id950.wav,ah you just are ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id952.wav,Erm: so you do ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id955.wav,Erm er MM MATHS is ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id956.wav,getting quite HAR HARD: cos I mean ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id965.wav,erm it's quite good: ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id967.wav,Erm IT ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id970.wav,from erm inputs ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id973.wav,Erm: other than that ss ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0078_16y5m_1_id974.wav,I I ITâ€™S fine. Erm.,1.0
D:\placements\paleru_technology\data\UCLASS\M_0095_07y7m_1_id990.wav,found it and um she| â€˜CAUSE| you ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0095_07y7m_1_id999.wav,back| but but er ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0095_08y10m_1_id420.wav,practice mode| there's um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0095_08y10m_1_id421.wav,freeze mode| there's um option mode ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0095_08y10m_1_id423.wav,there's six. And um|,1.0
D:\placements\paleru_technology\data\UCLASS\M_0095_08y10m_1_id425.wav,and it's called Batman and Robin.  Um| ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0095_08y10m_1_id426.wav,I think it's a two player game.  And um and|um| ,2.0
D:\placements\paleru_technology\data\UCLASS\M_0095_08y10m_1_id432.wav,a lot. Uh ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0098_09y8m_1_id514.wav,TODAY at school um ,1.0
D:\placements\paleru_technology\data\UCLASS\M_0098_09y8m_1_id516.wav,and we had to do um some spread SHEETS,1.0
